This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    76153
Number of nonzeros in inequality constraint Jacobian.:      602
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      301
                     variables with only lower bounds:      100
                variables with lower and upper bounds:       51
                     variables with only upper bounds:        0
Total number of equality constraints.................:      253
Total number of inequality constraints...............:        2
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 109  6.3926479e+00 5.24e+03 3.08e+00  -6.5 1.04e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  6.3924702e+00 5.08e+03 1.30e+00  -7.8 1.61e-02    -  1.00e+00 1.00e+00h  1
 111  6.3927684e+00 1.63e+03 2.48e+00  -8.5 5.67e-02    -  1.00e+00 1.00e+00h  1
 112  6.3928495e+00 3.57e+02 1.25e+00 -10.3 8.53e-03    -  1.00e+00 1.00e+00h  1
 113  6.3920171e+00 5.96e+03 2.85e+00 -11.0 7.34e-03    -  1.00e+00 1.00e+00h  1
 114  6.3919848e+00 5.48e+03 1.61e+00 -11.0 4.40e-02    -  1.00e+00 1.00e+00h  1
 115  6.3925360e+00 1.33e+03 2.56e+00 -11.0 7.62e-02    -  1.00e+00 1.00e+00h  1
 116  6.3916448e+00 8.65e+03 2.96e+00 -11.0 1.29e-01    -  1.00e+00 1.00e+00h  1
 117  6.3918714e+00 1.36e+03 3.03e+00 -11.0 2.98e-02    -  1.00e+00 1.00e+00h  1
 118  6.3849541e+00 4.24e+04 3.94e+00 -10.7 1.68e-01    -  1.00e+00 1.00e+00h  1
 119  6.3908520e+00 2.38e+04 2.81e+00 -11.0 2.43e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  6.3876555e+00 2.58e+04 2.93e+00 -11.0 4.77e-02    -  1.00e+00 1.00e+00h  1
 121  6.3888022e+00 1.38e+04 1.98e+00 -11.0 2.88e-02    -  1.00e+00 1.00e+00h  1
 122  6.3887034e+00 9.43e+03 2.85e+00  -9.0 3.72e-01    -  1.00e+00 3.18e-01h  1
 123  6.3887179e+00 9.38e+03 2.85e+00  -7.0 2.04e-01    -  1.00e+00 5.81e-03h  1
 124  6.3912739e+00 3.09e+03 1.81e+00  -7.4 6.47e-03    -  1.00e+00 1.00e+00h  1
 125  6.3904463e+00 8.18e+03 2.69e+00 -11.0 1.54e-02    -  8.26e-01 1.00e+00h  1
 126  6.3904566e+00 4.78e+03 2.86e+00  -9.1 9.43e-03    -  1.00e+00 1.00e+00h  1
 127  6.3893376e+00 1.26e+04 2.77e+00  -9.2 1.29e-02    -  1.00e+00 1.00e+00h  1
 128  6.3916415e+00 1.96e+03 2.54e+00  -9.3 6.79e-03    -  1.00e+00 1.00e+00h  1
 129  6.3874216e+00 2.76e+04 2.86e+00 -11.0 3.36e-02    -  5.41e-01 1.00e+00h  1
